1 1.0000000000 1.0000000000 1.0000000000
2 1.5263843648 1.4623655913 1.3964849568
3 1.8956310679 1.9649737302 1.6541990119
4 2.1714550509 2.1219858156 1.7961685823
5 2.3488721804 2.3834306956 2.0615655233
6 2.2993130520 2.5142857142 1.9847586790
7 2.1407035175 2.5837651122 2.0017079419
8 2.6091314031 2.7500000000 1.9991471215
9 2.2399617590 2.5171060011 2.2030075187
10 2.3430000000 2.5912240184 2.2506000960
11 2.4676145339 2.6077861708 2.3991811668
12 2.4965370271 2.4511196067 2.2702179176
13 2.5425935973 2.4974958263 2.4699683877
14 2.5316045380 2.4632272228 2.3036855036
15 2.5592572364 2.5199326221 2.3652875882
16 2.4279792746 2.4632272228 2.2946647087
