1 1.0000000000 1.0000000000 1.0000000000
2 1.5547309833 1.5027779220 1.4250165265
3 2.0525241529 2.0293086523 2.0206896551
4 2.4427530364 2.3678311380 2.0228567598
5 2.4332956928 2.6282237559 2.2392965793
6 2.5736222487 2.7086569957 2.4176079468
7 2.7884277659 2.8167396593 2.1841933849
8 2.6577394062 2.7459203036 2.1251320329
9 2.7242188910 2.7081500888 2.2706342637
10 2.8233972859 2.8559305308 2.5858109844
11 2.6916488222 2.8904424248 2.6192501301
12 2.7378164987 2.7511406844 2.6133529615
13 2.7894590846 2.7275468853 2.7422989550
14 2.8904857717 2.8655445544 2.8252199962
15 2.8968695986 2.8393995879 2.7555697589
16 2.8018946781 2.9099135330 2.7832703126
