1 1.0000000000 1.0000000000 1.0000000000
2 1.5582812964 1.4866031557 1.4079688757
3 2.0253140096 2.0819262038 1.7869913161
4 2.3035164835 2.3598771266 1.9521949404
5 2.5632183908 2.4726417430 2.2192852611
6 2.5353168843 2.5181543116 2.1074297188
7 2.6195951012 2.7927852348 2.0860663883
8 2.5134292565 2.8428693424 1.8764527087
9 2.5607134131 2.4837105197 2.0570364562
10 2.4334803807 2.4012983890 2.4260286638
11 2.6065655309 2.4961259685 2.5143747005
12 2.6117617742 2.5940259740 2.5653874358
13 2.7559821193 2.6413647183 2.6862042487
14 2.7181016597 2.7497246696 2.6022811802
15 2.7545335085 2.6406663141 2.6329653788
16 2.7625197680 2.6717495987 2.5666422108
