1 1.0000000000 1.0000000000 1.0000000000
2 .8176516668 .8527532418 .7758706057
3 .6166469738 .6556844044 .5958741325
4 .5771688375 .5967254076 .5270770265
5 .4906123514 .4997934737 .3819234284
6 .4189635179 .4133643071 .3274817136
7 .3556851311 .3942309780 .3128316890
8 .3330260918 .3514717273 .2792894486
9 .2936083763 .3019866227 .2606128643
10 .2890906293 .2816573556 .2490266189
11 .2398202752 .2596789423 .2297345175
12 .2194347115 .2192982456 .2079904433
13 .2131608804 .2081636866 .2043602060
14 .2051987767 .2020618097 .1849294860
15 .1860290113 .1830006049 .1708600245
16 .1791927361 .1778017241 .1745247995
