1 1.0000000000 1.0000000000 1.0000000000
2 .7631921824 .7311827956 .6982424784
3 .6318770226 .6549912434 .5513996706
4 .5428637627 .5304964539 .4490421455
5 .4697744360 .4766861391 .4123131046
6 .3832188420 .4190476190 .3307931131
7 .3058147882 .3691093017 .2859582774
8 .3261414253 .3437500000 .2498933901
9 .2488846398 .2796784445 .2447786131
10 .2343000000 .2591224018 .2250600096
11 .2243285939 .2370714700 .2181073788
12 .2080447522 .2042599672 .1891848264
13 .1955841228 .1921150635 .1899975682
14 .1808288955 .1759448016 .1645489645
15 .1706171490 .1679955081 .1576858392
16 .1517487046 .1539517014 .1434165442
